iter	Passed	Remaining
857	1058	175
858	1058	173
859	1060	172
860	1061	171
861	1062	170
862	1062	168
863	1063	167
864	1063	166
865	1064	164
866	1064	163
867	1065	162
868	1066	160
869	1066	159
870	1067	158
871	1067	156
872	1068	155
873	1068	154
874	1069	152
875	1070	151
876	1070	150
877	1071	148
878	1071	147
879	1072	146
880	1072	144
881	1073	143
882	1074	142
883	1075	141
884	1076	139
885	1077	138
886	1077	137
887	1078	136
888	1079	134
889	1079	133
890	1080	132
891	1080	130
892	1081	129
893	1081	128
894	1082	126
895	1083	125
896	1083	124
897	1084	123
898	1085	121
899	1085	120
900	1086	119
901	1087	118
902	1087	116
903	1088	115
904	1089	114
905	1090	113
906	1090	111
907	1091	110
908	1092	109
909	1092	108
910	1093	106
911	1093	105
912	1094	104
913	1094	103
914	1095	101
915	1096	100
916	1096	99
917	1097	98
918	1097	96
919	1098	95
920	1098	94
921	1099	93
922	1100	91
923	1100	90
924	1101	89
925	1101	88
926	1102	86
927	1103	85
928	1104	84
929	1105	83
930	1106	81
931	1106	80
932	1107	79
933	1108	78
934	1108	77
935	1109	75
936	1110	74
937	1110	73
938	1111	72
939	1111	70
940	1112	69
941	1113	68
942	1113	67
943	1114	66
944	1114	64
945	1115	63
946	1115	62
947	1116	61
948	1116	60
949	1117	58
950	1118	57
951	1120	56
952	1121	55
953	1122	54
954	1122	52
955	1123	51
956	1124	50
957	1124	49
958	1125	48
959	1126	46
960	1126	45
961	1127	44
962	1128	43
963	1128	42
964	1129	40
965	1130	39
966	1131	38
967	1131	37
968	1132	36
969	1132	35
970	1133	33
971	1134	32
972	1135	31
973	1136	30
974	1137	29
975	1137	27
976	1139	26
977	1139	25
978	1140	24
979	1140	23
980	1141	22
981	1141	20
982	1142	19
983	1143	18
984	1143	17
985	1144	16
986	1144	15
987	1145	13
988	1145	12
989	1146	11
990	1147	10
991	1147	9
992	1148	8
993	1149	6
994	1150	5
995	1150	4
996	1151	3
997	1152	2
998	1152	1
999	1153	0
